County,TotalPop,White,White_Percent,Black,Black_Percent,NativeAm,Native_Percent,Asian,Asian_Percent,Hawaiian,Hawaiian_Percent,Other,Other_Percent,Mix,Mix_Percent,Hispanic,Hispanic_Percent,Abbott-R,Abbott_Percent,Davis-D,Davis_Percent,Glass-L,Glass_Percent,Parmer-G,Pavitt-I,Total,Total,TurnOut%
Collin,782341,493492,63.0788875950513,64715,8.27196836162236,3278,0.664245823640505,87276,11.1557492193302,387,0.049466920434951,1364,0.174348525770732,16475,2.1058592097308,115354,14.7447212916107,116365,14.8739488279408,57757,7.3825863657919,2481,0.31712514108298,522,6,177131,485406,36.49%
Collingsworth,3057,1937,63.3627739614001,122,3.99084069349035,41,2.11667527103769,3,0.098135426889107,0,0,5,0.163559044815178,33,1.07948969578018,916,29.9640170101407,651,21.2953876349362,132,4.31795878312071,13,0.425253516519463,6,0,802,1890,42.43%
Colorado,20874,12496,59.8639455782313,2636,12.6281498514899,24,0.192061459667093,75,0.35929864903708,15,0.0718597298074159,25,0.119766216345693,151,0.723387946727987,5452,26.1186164606688,3881,18.5925074255054,1192,5.71045319536265,62,0.297020216537319,17,5,5157,13414,38.44%
Comal,108472,77387,71.3428350173317,1606,1.48056641345232,355,0.458733378991303,813,0.749502175676672,45,0.0414853602773066,105,0.096799173980382,1172,1.08046316100007,26989,24.8810753005384,26642,24.5611770779556,7428,6.84785013644074,520,0.479386385426654,106,24,34720,82137,42.27%
Comanche,13974,10145,72.5991126377558,25,0.178903678259625,47,0.463282405125678,34,0.24330900243309,4,0.02862458852154,8,0.05724917704308,106,0.75855159582081,3605,25.7979104050379,2447,17.5110920280521,544,3.89294403892944,53,0.379275797910405,24,1,3069,8593,35.72%
Concho,4087,1810,44.2867629067776,57,1.39466601419134,13,0.718232044198895,14,0.342549547345241,5,0.122339124051872,2,0.0489356496207487,13,0.318081722534867,2173,53.1685833129435,511,12.5030584781013,77,1.88402251039883,7,0.171274773672621,3,0,598,1645,36.35%
Cooke,38437,30255,78.7132190337435,1018,2.64848973645186,303,1.00148735746158,278,0.72326144079923,19,0.0494315373208107,35,0.0910580950646512,532,1.3840830449827,5997,15.6021541743632,7402,19.2574862762442,1273,3.31191300049432,104,0.270572625334964,40,0,8819,23970,36.79%
Coryell,75388,46776,62.0470101342389,11450,15.1880935957977,439,0.938515478022918,1332,1.76685944712686,632,0.838329707645779,191,0.253355971772696,2595,3.44219239136202,11973,15.8818379582957,6465,8.57563537963602,2017,2.67549212076193,156,0.206929484798642,46,1,8685,35232,24.65%
Cottle,1505,1043,69.3023255813954,129,8.57142857142857,4,0.383509108341323,0,0,1,0.0664451827242525,3,0.199335548172757,9,0.598006644518272,316,20.9966777408638,310,20.5980066445183,48,3.18936877076412,4,0.26578073089701,0,0,362,1091,33.18%
Crane,4375,1761,40.2514285714286,122,2.78857142857143,34,1.93072118114708,13,0.297142857142857,0,0,10,0.228571428571429,26,0.594285714285714,2409,55.0628571428571,713,16.2971428571429,127,2.90285714285714,6,0.137142857142857,3,2,851,2519,33.78%
Crockett,3719,1312,35.2783006184458,13,0.349556332347405,8,0.609756097560976,11,0.295778435063189,0,0,4,0.107555794568432,19,0.510890024200054,2352,63.2428072062382,624,16.7787039526754,203,5.45845657434794,4,0.107555794568432,4,0,835,2543,32.84%
Crosby,6059,2625,43.3239808549266,199,3.28437035814491,13,0.495238095238095,4,0.0660174946360786,2,0.0330087473180393,8,0.132034989272157,37,0.610661825383727,3171,52.3353688727513,813,13.418055784783,239,3.94454530450569,13,0.214556857567255,7,0,1072,3600,29.78%
Culberson,2398,504,21.0175145954962,8,0.333611342785655,13,2.57936507936508,22,0.917431192660551,0,0,0,0,24,1.00083402835696,1827,76.1884904086739,172,7.17264386989158,146,6.0884070058382,8,0.333611342785655,1,1,328,1759,18.65%
Dallam,6703,3726,55.5870505743697,81,1.20841414292108,34,0.912506709608159,37,0.551991645531851,5,0.0745934656124124,17,0.253617783082202,86,1.28300760853349,2717,40.5340892137849,727,10.8458899000448,100,1.49186931224825,10,0.149186931224825,7,0,844,3088,27.33%
Dallas,2368139,784693,33.1354282835594,518732,21.9046263753944,7330,0.934123281334229,117797,4.97424348824119,874,0.0369066173902799,3346,0.141292381908325,29427,1.24262131572513,905940,38.2553557878148,178273,7.52797872084367,223136,9.42241988329232,4599,0.194203127434665,1213,39,407260,1203513,33.84%
Dawson,13833,5402,39.0515434106846,860,6.21701727752476,28,0.518326545723806,46,0.332538133448999,2,0.0144581797151739,13,0.0939781681486301,95,0.686763536470758,7387,53.4012867779946,1687,12.1954745897491,335,2.42174510229162,16,0.115665437721391,6,0,2044,7406,27.6%
Deaf Smith,19372,5939,30.6576502168078,158,0.81561015899236,52,0.875568277487792,56,0.289077018377039,2,0.0103241792277514,29,0.149700598802395,97,0.500722692545943,13039,67.3084864753252,2182,11.2636795374768,503,2.59653107577948,28,0.14453850918852,14,1,2728,8439,32.33%
Delta,5231,4351,83.1772127700249,375,7.16880137640986,59,1.35601011261779,30,0.573504110112789,0,0,11,0.210284840374689,117,2.23666602943988,288,5.50563945708278,984,18.8109348116995,351,6.70999808831963,29,0.554387306442363,14,0,1378,3575,38.55%
Denton,662614,426887,64.4246876763847,54034,8.1546722526237,3143,0.736260415519798,43091,6.50318284853625,411,0.0620270625130166,1176,0.177478894197829,13036,1.96735957888001,120836,18.236258213681,93683,14.1383973172918,47238,7.12903741846686,2457,0.370804118234749,632,0,144010,407040,35.38%
DeWitt,20097,11482,57.1329054087675,1781,8.86201920684679,43,0.374499216164431,44,0.218938149972633,0,0,96,0.477683236303926,149,0.741404189680052,6502,32.3530875255013,3269,16.2661093695576,695,3.45822759615863,42,0.208986415882968,12,0,4018,11932,33.67%
Dickens,2444,1590,65.0572831423895,92,3.76432078559738,21,1.32075471698113,18,0.736497545008183,0,0,0,0,15,0.613747954173486,708,28.9689034369885,452,18.494271685761,60,2.45499181669394,4,0.16366612111293,1,0,517,1314,39.35%
Dimmit,9996,1217,12.1748699479792,81,0.810324129651861,7,0.57518488085456,51,0.510204081632653,0,0,10,0.100040016006403,14,0.140056022408964,8616,86.1944777911164,599,5.99239695878351,1245,12.4549819927971,21,0.210084033613445,12,0,1877,7301,25.71%
Donley,3677,3136,85.2869186837095,163,4.43296165352189,15,0.478316326530612,9,0.244764753875442,2,0.054392167527876,0,0,43,1.16943160184933,309,8.40358988305684,803,21.8384552624422,120,3.26353005167256,17,0.462333423986946,3,0,943,2410,39.13%
Duval,11782,1206,10.2359531488712,86,0.72992700729927,18,1.49253731343284,17,0.144287896791716,5,0.0424376167034459,6,0.0509251400441351,20,0.169750466813784,10424,88.4739433033441,750,6.36564250551689,2251,19.1054150398914,54,0.458326260397216,28,1,3084,8381,36.8%
Eastland,18583,15271,82.1772587849109,318,1.71124145724587,92,0.602449086503831,62,0.333638271538503,8,0.0430500995533552,8,0.0430500995533552,151,0.81257062906958,2673,14.3841145132648,3503,18.8505623419254,372,2.00182962923102,41,0.220631760210945,15,0,3931,10858,36.2%
Ector,137130,56306,41.0603077371837,5596,4.08079924159557,623,1.10645401910986,1004,0.732151972580763,106,0.0772989134398017,68,0.0495879822066652,1096,0.799241595566251,72331,52.7462991322103,12139,8.85218405892219,2478,1.80704441041348,170,0.123969955516663,40,0,14827,68480,21.65%
Edwards,2002,947,47.3026973026973,10,0.4995004995005,11,1.16156282998944,3,0.14985014985015,0,0,0,0,4,0.1998001998002,1027,51.2987012987013,540,26.973026973027,222,11.0889110889111,18,0.899100899100899,6,0,786,1504,52.26%
Ellis,149610,97987,65.494953545886,13161,8.79687186685382,565,0.576607100941962,811,0.542076064434196,87,0.0581511931020654,155,0.103602700354254,1683,1.12492480449168,35161,23.5017712719738,23604,15.7770202526569,7963,5.32250518013502,434,0.290087560991912,135,39,32175,93126,34.55%
El Paso,800647,105246,13.1451188851017,20649,2.57903920204535,2269,2.15590141193014,7551,0.943112257961374,805,0.100543685294518,602,0.0751891907419874,5391,0.673330444003412,658134,82.2002705312079,29953,3.74109938587168,48506,6.05835030918745,1382,0.172610401337918,519,48,80408,403979,19.9%
Erath,37890,29382,77.5455265241489,431,1.13750329902349,170,0.578585528554898,240,0.63341250989707,12,0.0316706254948535,18,0.0475059382422803,358,0.94484032726313,7279,19.2108735814199,5953,15.7112694642386,1301,3.43362364740037,97,0.256004222750066,40,2,7393,20456,36.14%
Falls,17866,9381,52.507556252099,4463,24.9804097167805,60,0.639590661976335,46,0.257472293742304,10,0.055972237770066,24,0.134333370648159,166,0.929139146983096,3716,20.7992835553565,2147,12.0172394492332,877,4.90876525243479,31,0.173513937087205,9,0,3064,9854,31.09%
Fannin,33915,27433,80.8875128998968,2273,6.70204924074893,294,1.07170196478694,122,0.359722836503022,6,0.0176912870411322,23,0.0678166003243403,538,1.58631873802152,3226,9.51201533244877,4897,14.4390387734041,1449,4.27244582043344,99,0.291906236178682,39,6,6490,19872,32.66%
